Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % of 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day
03/05/2021,1829185,0.33,1041408,0.46,59404,0.19,45027,0.16,21842,0.73,846071,0.92
03/04/2021,1812200,0.32,1078036,0.48,55675,0.18,39731,0.14,21727,0.73,807284,0.88
03/03/2021,1850000,0.33,1119137,0.5,54999,0.18,39652,0.14,22823,0.77,798577,0.87
03/02/2021,1752983,0.31,1024511,0.46,52509,0.17,36611,0.13,20640,0.69,763489,0.83
03/01/2021,1699607,0.3,1020837,0.46,52055,0.17,36339,0.13,20359,0.68,747909,0.81
02/28/2021,811043,0.37,491545,0.5,23843,0.31,20086,0.22,8910,0.53,619960,0.82
02/27/2021,1074256,0.37,635820,0.5,29081,0.31,24256,0.19,11319,0.7,681969,0.82
02/26/2021,1826171,0.34,1065376,0.5,59073,0.2,44411,0.16,21911,0.74,851052,0.96
02/25/2021,1801708,0.33,1069420,0.5,54480,0.18,39398,0.15,22138,0.75,814611,0.92
02/24/2021,1809852,0.33,1099351,0.51,53550,0.18,39125,0.15,23223,0.79,797488,0.9
02/23/2021,1733604,0.32,1040398,0.48,52538,0.17,37506,0.14,20852,0.71,759850,0.86
02/22/2021,1585133,0.29,927414,0.43,50027,0.17,35469,0.13,19015,0.65,691608,0.78
02/21/2021,837051,0.38,516715,0.53,25277,0.32,19844,0.22,9195,0.55,605395,0.8
02/20/2021,1111970,0.39,679240,0.54,31169,0.33,25729,0.2,10578,0.65,657045,0.79
02/19/2021,1568728,0.29,809308,0.38,49387,0.16,38308,0.14,14172,0.48,608152,0.69
02/18/2021,1384407,0.25,725951,0.34,42105,0.14,31748,0.12,15843,0.54,456327,0.52
02/17/2021,1736509,0.32,1061711,0.49,53150,0.18,39206,0.15,22336,0.76,821333,0.93
02/16/2021,1630739,0.3,963223,0.45,51985,0.17,36235,0.13,19126,0.65,726224,0.82
02/15/2021,1220357,0.56,726412,0.74,47094,0.6,21792,0.24,11437,0.39,641883,0.85
02/14/2021,858877,0.39,479319,0.49,23456,0.3,20489,0.22,7835,0.46,551288,0.73
02/13/2021,1093261,0.38,656637,0.52,29519,0.32,25456,0.19,11669,0.72,666722,0.8
02/12/2021,1709253,0.31,965421,0.45,55556,0.18,42229,0.16,20165,0.69,803912,0.91
02/11/2021,1717804,0.32,1005348,0.47,50970,0.17,37230,0.14,20144,0.68,755367,0.86
02/10/2021,1753405,0.32,1052021,0.49,51029,0.17,36581,0.14,22169,0.75,769088,0.87
02/09/2021,1669590,0.31,992290,0.46,49719,0.16,34582,0.13,19386,0.66,682085,0.77
02/08/2021,1642828,0.3,964007,0.45,50919,0.17,36921,0.14,17786,0.6,701146,0.79
02/07/2021,653257,0.3,367095,0.38,17157,0.22,14068,0.15,7115,0.42,340122,0.45
02/06/2021,1149757,0.4,715717,0.57,29483,0.31,25168,0.19,12020,0.74,689415,0.83
02/05/2021,1744130,0.32,1001775,0.47,53042,0.18,40322,0.15,20136,0.68,766091,0.87
02/04/2021,1789214,0.33,1033791,0.48,51802,0.17,37591,0.14,20328,0.69,742193,0.84
02/03/2021,1705655,0.31,949695,0.44,49461,0.16,36347,0.13,16869,0.57,656614,0.74
02/02/2021,1007502,0.19,543073,0.25,16268,0.05,22258,0.08,8155,0.28,311607,0.35
02/01/2021,584184,0.11,337228,0.16,6177,0.02,12093,0.04,12202,0.41,156759,0.18
01/31/2021,723473,0.35,427945,0.47,22078,0.27,17531,0.19,8616,0.64,573512,0.84
01/30/2021,943426,0.35,566837,0.47,27029,0.28,21229,0.16,10284,0.71,652550,0.85
01/29/2021,1514326,0.29,812264,0.4,50664,0.17,37760,0.14,19047,0.67,780131,0.9
01/28/2021,1650014,0.32,950205,0.46,51353,0.17,37015,0.14,20139,0.71,768600,0.88
01/27/2021,1663376,0.32,1004792,0.49,50885,0.17,35635,0.13,19841,0.7,740154,0.85
01/26/2021,1553918,0.3,911579,0.45,49269,0.16,34574,0.13,18115,0.64,653068,0.75
01/25/2021,1595694,0.31,978987,0.48,52983,0.18,36509,0.14,19991,0.71,727393,0.84
01/24/2021,741960,0.35,458203,0.5,22922,0.28,17881,0.2,8317,0.62,560522,0.82
01/23/2021,998665,0.37,619673,0.52,28348,0.29,22216,0.17,10536,0.73,640381,0.84
01/22/2021,1675175,0.32,1018584,0.5,55479,0.18,40981,0.15,20375,0.72,787474,0.91
01/21/2021,1656100,0.32,1007042,0.49,52234,0.17,37003,0.14,19925,0.7,760221,0.87
01/20/2021,1578038,0.31,921371,0.45,49129,0.16,35263,0.13,19281,0.68,712711,0.82
01/19/2021,1639243,0.32,1013616,0.5,52394,0.17,36885,0.14,21049,0.74,736254,0.85
01/18/2021,1279119,0.61,766926,0.84,49754,0.6,22337,0.25,14124,0.5,689251,1.01
01/17/2021,798564,0.38,504031,0.55,23160,0.28,20269,0.22,9880,0.73,580771,0.85
01/16/2021,992599,0.37,645625,0.54,27510,0.28,22548,0.17,11654,0.8,631135,0.83
01/15/2021,1630098,0.32,981817,0.48,54594,0.18,41025,0.15,21819,0.77,788779,0.91
01/14/2021,1650630,0.32,1017757,0.5,52023,0.17,37403,0.14,21950,0.78,754071,0.87
01/13/2021,1644812,0.32,996646,0.49,51057,0.17,36488,0.14,22720,0.8,737859,0.85
01/12/2021,1643725,0.32,997279,0.49,51555,0.17,36563,0.14,21623,0.76,730831,0.84
01/11/2021,1571330,0.3,966517,0.47,52370,0.17,36016,0.13,21089,0.75,708058,0.81
01/10/2021,763690,0.36,501437,0.55,22709,0.27,18076,0.2,9467,0.7,564543,0.83
01/09/2021,991218,0.37,643475,0.54,27354,0.28,22332,0.17,12023,0.83,630790,0.83
01/08/2021,1622259,0.31,982175,0.48,53403,0.18,39102,0.15,21641,0.76,754548,0.87
01/07/2021,1614248,0.31,989097,0.48,51112,0.17,36345,0.14,21571,0.76,736609,0.85
01/06/2021,1616889,0.31,996123,0.49,50839,0.17,35857,0.13,22795,0.81,726679,0.84
01/05/2021,1600910,0.31,990479,0.48,50848,0.17,35806,0.13,21641,0.76,708610,0.82
01/04/2021,1561237,0.3,964597,0.47,51496,0.17,35680,0.13,20612,0.73,688045,0.79
01/03/2021,653915,0.31,413820,0.45,19906,0.24,15546,0.17,9745,0.72,496494,0.73
01/02/2021,989612,0.36,608686,0.51,29299,0.3,23140,0.18,10450,0.72,624765,0.82
01/01/2021,614497,0.29,378288,0.41,22542,0.27,14988,0.17,5960,0.21,445950,0.65
12/31/2020,1277146,0.24,780869,0.39,52781,0.17,39947,0.14,17167,0.59,704297,0.79
12/30/2020,1585476,0.3,935138,0.47,54923,0.17,40962,0.15,20922,0.72,799839,0.9
12/29/2020,1558295,0.29,918291,0.46,54556,0.17,39416,0.14,19717,0.68,759864,0.86
12/28/2020,1513195,0.28,902574,0.45,56589,0.18,41012,0.15,18820,0.65,743305,0.84
12/27/2020,761251,0.3,469973,0.48,25719,0.24,20470,0.19,9457,0.53,594862,0.75
12/26/2020,880184,0.26,555857,0.44,27978,0.22,22076,0.14,9094,0.53,593895,0.67
12/25/2020,485839,0.19,312707,0.32,38251,0.36,14435,0.13,8611,0.3,476547,0.6
12/24/2020,1314656,0.25,813353,0.41,53204,0.17,38899,0.14,15928,0.55,760624,0.86
12/23/2020,1775738,0.33,1033609,0.52,58460,0.19,42100,0.15,23305,0.8,864271,0.98
12/22/2020,1764202,0.33,1031789,0.52,56697,0.18,39579,0.14,22820,0.78,814975,0.92
12/21/2020,1719279,0.32,1011638,0.51,56352,0.18,39814,0.14,21647,0.74,777049,0.88
12/20/2020,822001,0.32,516601,0.53,24348,0.23,18767,0.17,9585,0.54,555254,0.7
12/19/2020,1112852,0.33,669751,0.53,31900,0.25,24217,0.15,11589,0.67,651814,0.74
12/18/2020,1738727,0.32,938457,0.47,55802,0.18,41287,0.15,17537,0.6,736356,0.83
12/17/2020,1081431,0.2,525802,0.26,15041,0.05,12527,0.04,9940,0.34,297298,0.34
12/16/2020,1571978,0.29,854245,0.43,47162,0.15,33572,0.12,19296,0.66,625006,0.71
12/15/2020,1786741,0.33,1076717,0.54,54239,0.17,38322,0.14,23432,0.8,819063,0.92
12/14/2020,1587068,0.3,950309,0.47,52039,0.16,36057,0.13,21333,0.73,723908,0.82
12/13/2020,911519,0.36,579527,0.59,29350,0.28,22670,0.21,10208,0.57,659446,0.83
12/12/2020,1091372,0.33,704357,0.56,32436,0.25,24119,0.15,12307,0.71,671668,0.76
12/11/2020,1789568,0.33,1053576,0.53,59384,0.19,42421,0.15,22751,0.78,821871,0.93
12/10/2020,1764682,0.33,1066582,0.53,53968,0.17,37601,0.13,22845,0.78,784406,0.89
12/09/2020,1705159,0.32,1017090,0.51,51762,0.16,35918,0.13,22459,0.77,749886,0.85
12/08/2020,1544078,0.29,1029646,0.51,51879,0.16,36403,0.13,22177,0.76,744112,0.84
12/07/2020,1659836,0.31,1018044,0.51,53967,0.17,36890,0.13,21424,0.73,729674,0.82
12/06/2020,879278,0.35,545433,0.56,26184,0.25,19653,0.18,9904,0.56,590525,0.74
12/05/2020,1001236,0.3,619735,0.49,26023,0.2,19728,0.13,10151,0.59,572557,0.65
12/04/2020,1704749,0.32,1012813,0.51,53682,0.17,39229,0.14,21960,0.75,775709,0.88
12/03/2020,1739370,0.32,1056963,0.53,52736,0.17,37014,0.13,22941,0.79,767310,0.87
12/02/2020,1703245,0.32,1018368,0.51,50998,0.16,35615,0.13,22712,0.78,746840,0.84
12/01/2020,1709780,0.32,1051162,0.52,50881,0.16,35226,0.13,21693,0.74,752069,0.85
11/30/2020,1462166,0.26,819615,0.37,53423,0.16,37027,0.13,19751,0.63,652664,0.69
11/29/2020,827800,0.33,545820,0.55,27488,0.29,21898,0.21,9360,0.5,631799,0.77
11/28/2020,1034026,0.33,684962,0.52,32585,0.28,24688,0.16,10808,0.64,649087,0.71
11/27/2020,1265519,0.5,812188,0.82,55384,0.59,25009,0.24,12395,0.4,671214,0.81
11/26/2020,653123,0.26,443386,0.45,49036,0.52,20393,0.2,12151,0.39,564193,0.68
11/25/2020,1691393,0.3,1032401,0.47,62271,0.19,46210,0.16,21450,0.69,853222,0.9
11/24/2020,1739107,0.31,1064087,0.49,59742,0.18,41773,0.15,22814,0.73,821450,0.87
11/23/2020,1649748,0.29,1002977,0.46,58536,0.18,40669,0.14,21297,0.68,755375,0.8
11/22/2020,818055,0.32,543514,0.55,26133,0.28,20269,0.19,10694,0.57,598349,0.73
11/21/2020,1157976,0.37,750818,0.57,33822,0.29,27716,0.18,13193,0.78,742369,0.82
11/20/2020,1803896,0.32,1073124,0.49,62644,0.19,44684,0.16,22945,0.73,843069,0.89
11/19/2020,1761064,0.31,1058467,0.48,57205,0.17,40123,0.14,21780,0.7,800461,0.85
11/18/2020,1791183,0.32,1072627,0.49,56023,0.17,39694,0.14,23390,0.75,776422,0.82
11/17/2020,1792431,0.32,1094353,0.5,57853,0.18,40079,0.14,22524,0.72,764725,0.81
11/16/2020,1745282,0.31,1051458,0.48,59718,0.18,41962,0.15,21851,0.7,757988,0.8
11/15/2020,821555,0.33,524515,0.53,26073,0.28,20946,0.2,9763,0.52,596389,0.72
11/14/2020,1215491,0.38,755714,0.57,35735,0.31,31397,0.21,12928,0.76,735029,0.81
11/13/2020,1820025,0.32,1061880,0.48,61820,0.19,45127,0.16,22054,0.71,821059,0.87
11/12/2020,1780212,0.31,1058761,0.48,58237,0.18,40382,0.14,22059,0.71,779141,0.83
11/11/2020,1617862,0.64,968853,0.97,55515,0.59,40074,0.38,20263,0.65,713640,0.87
11/10/2020,1840750,0.33,1146090,0.52,60891,0.19,43084,0.15,23138,0.74,800965,0.85
11/09/2020,1756175,0.31,1099361,0.5,61198,0.19,42628,0.15,21444,0.69,773217,0.82
11/08/2020,928516,0.37,584868,0.59,32423,0.34,27961,0.27,10474,0.56,726041,0.88
11/07/2020,1246356,0.39,749502,0.57,40002,0.35,35871,0.24,13409,0.79,790712,0.87
11/06/2020,1840860,0.33,1114000,0.51,64147,0.2,48139,0.17,22659,0.73,858167,0.91
11/05/2020,1797589,0.32,1125820,0.51,58776,0.18,41550,0.15,22937,0.73,818991,0.87
11/04/2020,1693937,0.3,1083036,0.49,54345,0.17,38818,0.14,22174,0.71,754704,0.8
11/03/2020,1606096,0.28,1017551,0.46,54643,0.17,39749,0.14,20416,0.65,720562,0.76
11/02/2020,1751443,0.31,1064298,0.49,58206,0.18,40609,0.14,21127,0.68,772129,0.82
11/01/2020,786678,0.31,510667,0.51,24849,0.26,22602,0.22,10180,0.54,660915,0.8
10/31/2020,1174079,0.35,724129,0.52,36426,0.32,34077,0.22,12816,0.72,743811,0.79
10/30/2020,1771288,0.31,1004498,0.45,63086,0.2,47968,0.16,21243,0.71,824680,0.89
10/29/2020,1708611,0.3,974119,0.43,57737,0.18,41158,0.14,20925,0.7,776467,0.84
10/28/2020,1823028,0.32,1109591,0.49,60325,0.19,43290,0.15,23258,0.78,801966,0.86
10/27/2020,1818884,0.32,1138746,0.51,60741,0.19,43341,0.15,21870,0.73,789371,0.85
10/26/2020,1694080,0.29,1058119,0.47,60491,0.19,43558,0.15,20817,0.7,760604,0.82
10/25/2020,885001,0.36,576930,0.58,29458,0.32,28321,0.27,10074,0.55,725809,0.86
10/24/2020,1185612,0.36,780710,0.56,38250,0.34,38673,0.25,12916,0.73,805454,0.85
10/23/2020,1846268,0.32,1128035,0.5,67337,0.21,51766,0.18,21766,0.73,881995,0.95
10/22/2020,1829135,0.32,1146065,0.51,62602,0.2,45771,0.16,22391,0.75,845064,0.91
10/21/2020,1816797,0.32,1147375,0.51,60017,0.19,44103,0.15,22959,0.77,806738,0.87
10/20/2020,1784090,0.31,1127897,0.5,60178,0.19,42742,0.15,21936,0.74,790018,0.85
10/19/2020,1722723,0.3,1104658,0.49,62193,0.2,44369,0.15,20812,0.7,782239,0.84
10/18/2020,897886,0.37,585376,0.58,30336,0.33,30690,0.29,9998,0.54,752262,0.89
10/17/2020,1211061,0.36,780003,0.56,38381,0.34,37764,0.25,11831,0.67,794520,0.84
10/16/2020,1674686,0.29,986166,0.44,62745,0.2,47292,0.16,20776,0.7,820106,0.88
10/15/2020,1857822,0.32,1154164,0.51,63733,0.2,46250,0.16,22834,0.77,866245,0.93
10/14/2020,1842638,0.32,1161893,0.52,62080,0.2,45149,0.16,23169,0.78,824529,0.89
10/13/2020,1718853,0.3,1067179,0.47,53201,0.17,42206,0.15,20909,0.7,765671,0.82
10/12/2020,1286892,0.22,770512,0.34,53539,0.17,39838,0.14,15722,0.53,685982,0.74
10/11/2020,849518,0.35,564046,0.56,30258,0.33,28784,0.27,9470,0.52,692669,0.82
10/10/2020,1171657,0.35,770914,0.55,39048,0.34,41410,0.27,12627,0.71,823775,0.87
10/09/2020,1811779,0.31,1114870,0.49,58900,0.19,52686,0.18,21274,0.71,896404,0.97
10/08/2020,1801918,0.31,1128062,0.5,62089,0.2,44802,0.15,21964,0.74,845788,0.91
10/07/2020,1774408,0.31,1124542,0.5,60650,0.19,43535,0.15,23027,0.77,814866,0.88
10/06/2020,1762320,0.31,1133242,0.5,60982,0.19,43803,0.15,21475,0.72,802900,0.87
10/05/2020,1682379,0.29,1092193,0.48,61850,0.2,42258,0.15,19971,0.67,783540,0.84
10/04/2020,853591,0.35,566754,0.57,30593,0.34,27667,0.26,10010,0.54,706562,0.84
10/03/2020,1168073,0.35,773305,0.56,39477,0.35,36907,0.24,12759,0.72,810626,0.86
10/02/2020,1794201,0.31,1109459,0.49,65360,0.21,48883,0.17,21626,0.73,891268,0.96
10/01/2020,1813961,0.31,1150563,0.51,60764,0.19,42390,0.15,22309,0.75,870606,0.94
09/30/2020,1744524,0.3,984900,0.42,59629,0.18,41967,0.15,21424,0.72,822682,0.86
09/29/2020,1664896,0.29,2209100,0.95,59006,0.18,40515,0.14,20517,0.69,790861,0.83
09/28/2020,1492611,0.26,2228600,0.96,60024,0.18,43237,0.15,17678,0.6,753159,0.79
09/27/2020,846184,0.33,2177200,1.98,32111,0.32,28481,0.27,9491,0.55,731091,0.83
09/26/2020,1120175,0.35,2244500,1.6,39622,0.33,35772,0.23,12128,0.71,824515,0.86
09/25/2020,1765299,0.3,2066700,0.89,66493,0.2,49819,0.17,21233,0.72,912599,0.96
09/24/2020,1726180,0.3,1249100,0.54,60397,0.18,42969,0.15,21554,0.73,857578,0.9
09/23/2020,1739043,0.3,957200,0.41,59478,0.18,42506,0.15,22501,0.76,834469,0.88
09/22/2020,1702325,0.29,2124800,0.91,58293,0.18,41389,0.14,21103,0.71,808351,0.85
09/21/2020,1627636,0.28,2112000,0.91,60052,0.18,41901,0.15,19488,0.66,788505,0.83
09/20/2020,828365,0.33,2113000,1.92,31291,0.32,26329,0.25,9269,0.54,705596,0.8
09/19/2020,1137948,0.35,1938400,1.38,39293,0.33,34609,0.23,12246,0.71,802614,0.84
09/18/2020,1728810,0.3,1715700,0.74,65164,0.2,48213,0.17,20702,0.7,894931,0.94
09/17/2020,1695985,0.29,993300,0.43,58855,0.18,42339,0.15,21005,0.71,848024,0.89
09/16/2020,1690405,0.29,711600,0.31,58166,0.18,41417,0.14,22070,0.74,816708,0.86
09/15/2020,1681774,0.29,1237300,0.53,58059,0.18,41288,0.14,20763,0.7,815700,0.86
09/14/2020,1607896,0.28,1094900,0.47,59913,0.18,41286,0.14,19888,0.67,799573,0.84
09/13/2020,796744,0.31,1059500,0.96,29455,0.3,24009,0.23,9315,0.54,703809,0.8
09/12/2020,1083727,0.34,933600,0.67,37419,0.32,32400,0.21,12349,0.72,800190,0.84
09/11/2020,1693776,0.29,868600,0.37,63672,0.19,47781,0.17,20809,0.7,895766,0.94
09/10/2020,1547065,0.27,564900,0.24,55662,0.17,39296,0.14,20181,0.68,801431,0.84
09/09/2020,1613662,0.28,378900,0.16,57517,0.18,41954,0.15,21801,0.73,825412,0.87
09/08/2020,1559312,0.27,578200,0.25,60446,0.18,42963,0.15,19806,0.67,833996,0.88
09/07/2020,872174,0.34,657800,0.6,53588,0.54,27326,0.26,9261,0.31,697865,0.79
09/06/2020,819600,0.32,618000,0.56,35911,0.36,28566,0.27,10160,0.59,753036,0.85
09/05/2020,1013746,0.31,646100,0.46,42462,0.36,34622,0.23,12118,0.71,798823,0.84
09/04/2020,1571533,0.27,641800,0.28,63502,0.19,47153,0.16,20223,0.68,936602,0.98
09/03/2020,1532512,0.26,403700,0.17,55941,0.17,39920,0.14,19992,0.67,869126,0.91
09/02/2020,1491161,0.26,306800,0.13,51851,0.16,36160,0.13,19990,0.67,810144,0.85
09/01/2020,1472491,0.25,563900,0.24,51026,0.16,36035,0.12,18929,0.64,809685,0.85
08/31/2020,1400448,0.27,514300,0.25,54747,0.18,37727,0.14,18185,0.65,817544,0.84
08/30/2020,748886,0.31,495400,0.45,34569,0.33,26521,0.26,9752,0.54,805096,0.87
08/29/2020,774465,0.26,472700,0.34,28080,0.21,22235,0.15,9814,0.59,645956,0.67
08/28/2020,1391299,0.27,483800,0.24,57273,0.18,41222,0.15,18845,0.67,899892,0.93
08/27/2020,1361128,0.26,383400,0.19,51827,0.17,35551,0.13,19271,0.69,847285,0.87
08/26/2020,1410651,0.27,299600,0.15,53579,0.17,36621,0.13,20659,0.74,859625,0.88
08/25/2020,1349335,0.26,454900,0.23,51215,0.16,35689,0.13,18682,0.67,821597,0.85
08/24/2020,1310101,0.25,441000,0.22,52661,0.17,35904,0.13,17643,0.63,815665,0.84
08/23/2020,672193,0.28,431700,0.39,29013,0.28,22497,0.22,8297,0.46,737097,0.8
08/22/2020,883393,0.3,401900,0.29,36624,0.27,27785,0.18,11456,0.69,812308,0.85
08/21/2020,1390232,0.27,414100,0.21,57234,0.18,41110,0.15,19035,0.68,909773,0.94
08/20/2020,1413449,0.27,378200,0.19,53659,0.17,37078,0.14,19344,0.69,889782,0.92
08/19/2020,1294931,0.25,279100,0.14,49046,0.16,34377,0.13,19915,0.71,816805,0.84
08/18/2020,1372568,0.27,347800,0.17,51831,0.17,34361,0.13,19274,0.69,838008,0.86
08/17/2020,1307543,0.25,470900,0.23,52176,0.17,35362,0.13,17377,0.62,806108,0.83
08/16/2020,554980,0.23,454100,0.41,22862,0.22,18165,0.17,7902,0.44,620686,0.67
08/15/2020,861763,0.29,447000,0.33,34917,0.26,27678,0.18,11487,0.69,804346,0.84
08/14/2020,1358798,0.26,470300,0.23,54867,0.18,39342,0.14,18113,0.65,893657,0.92
08/13/2020,1294248,0.25,352000,0.17,49105,0.16,33823,0.12,18608,0.67,819019,0.84
08/12/2020,1302087,0.25,318100,0.16,47815,0.15,33736,0.12,19346,0.69,800865,0.82
08/11/2020,1322978,0.26,498700,0.25,50590,0.16,33509,0.12,18546,0.66,821976,0.85
08/10/2020,1278263,0.25,450900,0.22,51542,0.16,33501,0.12,18178,0.65,826001,0.85
08/09/2020,663642,0.28,518900,0.47,28802,0.28,20503,0.2,8287,0.46,744618,0.81
08/08/2020,834093,0.28,487300,0.35,31129,0.23,23514,0.15,10613,0.64,730739,0.76
08/07/2020,1286635,0.25,475400,0.24,49639,0.16,32882,0.12,17502,0.63,844097,0.87
08/06/2020,1337819,0.26,430800,0.21,47295,0.15,28283,0.1,19117,0.68,847497,0.87
08/05/2020,1351026,0.26,293500,0.15,40581,0.13,26598,0.1,18299,0.66,847330,0.87
08/04/2020,1028686,0.2,518400,0.26,25726,0.08,22286,0.08,14924,0.53,577415,0.59
08/03/2020,1275951,0.25,555600,0.28,49601,0.16,32884,0.12,17594,0.63,818732,0.84
08/02/2020,590675,0.25,519600,0.47,23355,0.22,17886,0.17,7431,0.41,648735,0.7
08/01/2020,843372,0.29,488800,0.36,33126,0.25,26261,0.17,10685,0.64,799745,0.83
07/31/2020,1260968,0.24,555300,0.27,50272,0.16,38041,0.13,17654,0.62,859774,0.89
07/30/2020,1272918,0.24,478600,0.23,48311,0.15,34123,0.12,17333,0.61,820275,0.85
07/29/2020,1298880,0.25,375900,0.18,48363,0.15,33734,0.12,18216,0.64,816959,0.85
07/28/2020,1244405,0.24,578300,0.28,45997,0.15,31678,0.11,16892,0.6,782226,0.81
07/27/2020,1206129,0.23,583400,0.28,48526,0.15,31569,0.11,16607,0.59,793225,0.83
07/26/2020,607452,0.26,538800,0.49,27502,0.26,20170,0.19,7429,0.45,697533,0.79
07/25/2020,817403,0.29,605600,0.45,33753,0.26,25173,0.16,10350,0.65,769898,0.83
07/24/2020,1220649,0.23,573700,0.28,48965,0.15,36640,0.13,17311,0.61,826030,0.86
07/23/2020,1236427,0.23,462400,0.22,45984,0.15,32976,0.12,17056,0.6,791577,0.82
07/22/2020,1236384,0.23,386000,0.19,45152,0.14,32486,0.11,17582,0.62,784013,0.82
07/21/2020,1244544,0.24,553300,0.27,46623,0.15,33214,0.12,16831,0.59,792955,0.82
07/20/2020,1159163,0.22,594900,0.29,46870,0.15,32280,0.11,15957,0.56,770607,0.8
07/19/2020,585498,0.25,611300,0.56,27704,0.26,18675,0.18,7052,0.43,696110,0.79
07/18/2020,779722,0.28,616000,0.46,32114,0.25,24071,0.16,9785,0.62,747445,0.81
07/17/2020,1209692,0.23,671500,0.32,48160,0.15,35415,0.13,16401,0.58,819471,0.85
07/16/2020,1251884,0.24,530600,0.26,46751,0.15,33259,0.12,17230,0.61,819850,0.85
07/15/2020,1251164,0.24,413500,0.2,45982,0.15,32604,0.12,18149,0.64,803399,0.84
07/14/2020,1243749,0.24,624200,0.3,45745,0.14,31922,0.11,17081,0.6,794838,0.83
07/13/2020,1178204,0.22,643600,0.31,45945,0.15,31876,0.11,15928,0.56,756123,0.79
07/12/2020,628918,0.27,654800,0.6,26545,0.25,19860,0.19,7395,0.45,703590,0.8
07/11/2020,693789,0.24,655300,0.49,23410,0.18,18684,0.12,8453,0.53,625288,0.68
07/10/2020,1032749,0.2,690200,0.33,41563,0.13,29683,0.1,15738,0.56,712635,0.74
07/09/2020,1213851,0.23,460700,0.22,45876,0.14,31914,0.11,17017,0.6,818034,0.85
07/08/2020,1174733,0.22,461200,0.22,43563,0.14,30174,0.11,16980,0.6,758208,0.79
07/07/2020,1159588,0.22,531600,0.26,42596,0.13,30507,0.11,16003,0.56,749833,0.78
07/06/2020,1087178,0.21,709000,0.34,44199,0.14,30557,0.11,14886,0.53,750584,0.78
07/05/2020,534220,0.23,719200,0.66,26289,0.25,19137,0.18,6280,0.38,659099,0.75
07/04/2020,592295,0.21,710800,0.53,29897,0.23,22085,0.14,8391,0.53,569212,0.62
07/03/2020,853015,0.36,720800,0.66,41750,0.4,32050,0.3,10915,0.38,713240,0.81
07/02/2020,1172848,0.22,622000,0.3,45020,0.14,31948,0.11,15981,0.56,881471,0.92
07/01/2020,1122842,0.21,468300,0.23,39042,0.12,27770,0.1,16451,0.58,779409,0.81
06/30/2020,1115510,0.2,764300,0.36,38057,0.11,27077,0.09,15291,0.52,758785,0.77
06/29/2020,1103086,0.2,724400,0.34,41715,0.13,28163,0.1,14705,0.5,767165,0.78
06/28/2020,536488,0.2,741200,0.68,20767,0.21,15919,0.15,5748,0.32,623131,0.67
06/27/2020,616084,0.19,797700,0.57,21669,0.18,17933,0.11,8541,0.49,630731,0.64
06/26/2020,1104497,0.2,772900,0.36,39370,0.12,29700,0.1,15048,0.51,830887,0.85
06/25/2020,1081006,0.19,648000,0.3,35646,0.11,25644,0.09,14854,0.51,781618,0.79
06/24/2020,1070527,0.19,531900,0.25,34439,0.1,25277,0.09,15155,0.52,752750,0.77
06/23/2020,1053005,0.19,863400,0.4,34736,0.1,24909,0.08,15069,0.51,744822,0.76
06/22/2020,1002073,0.18,916900,0.43,35501,0.11,25367,0.09,13314,0.45,733291,0.75
06/21/2020,449497,0.17,914700,0.84,21910,0.22,16720,0.15,6328,0.35,654914,0.71
06/20/2020,576097,0.18,830100,0.59,23438,0.19,18560,0.12,8185,0.47,666226,0.68
06/19/2020,988680,0.38,966300,0.89,35517,0.36,27772,0.25,13868,0.47,797519,0.86
06/18/2020,944318,0.17,706800,0.33,31916,0.1,24081,0.08,13808,0.47,729487,0.74
06/17/2020,950318,0.17,571200,0.27,31026,0.09,24167,0.08,14595,0.5,709680,0.72
06/16/2020,934545,0.17,940900,0.44,30782,0.09,22555,0.08,12939,0.44,695359,0.71
06/15/2020,898925,0.16,961000,0.45,31328,0.09,22841,0.08,12953,0.44,674785,0.69
06/14/2020,430446,0.16,977200,0.9,16868,0.17,13795,0.13,5195,0.29,563725,0.61
06/13/2020,545333,0.17,977700,0.7,20521,0.17,16675,0.11,7794,0.45,631065,0.64
06/12/2020,898314,0.16,1035300,0.48,31888,0.1,24165,0.08,13224,0.45,765492,0.78
06/11/2020,819873,0.15,768500,0.36,27320,0.08,19525,0.07,12514,0.43,656696,0.67
06/10/2020,858782,0.15,592400,0.28,28340,0.09,20518,0.07,13616,0.46,680270,0.69
06/09/2020,843968,0.15,1016200,0.47,27760,0.08,19543,0.07,12869,0.44,680462,0.69
06/08/2020,806138,0.14,1086200,0.51,28089,0.08,20140,0.07,11957,0.41,644830,0.66
06/07/2020,378085,0.14,1099900,1.01,13583,0.14,11231,0.1,4650,0.26,538419,0.58
06/06/2020,464207,0.14,1088500,0.78,14641,0.12,12179,0.08,6591,0.38,551793,0.56
06/05/2020,704825,0.13,1130100,0.53,23688,0.07,18065,0.06,11698,0.4,643562,0.65
